creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Ceresole, Prof. Ir. Pierre																														" 3. Brochure: """"En Allemagne et aux Indes pour la Paix."""""	French		2316	Brochure En Allemagne et aux Indes pour la Paix Ceresole Prof Ir Pierre	Service Civil International.3	2318.pdf	2021-07-15	1934		S18-47-015.pdf	2021-07-15
Schaik, Willem van																														2. Reklamemateriaal en krantenknipsels over Willem van Schaik.	Dutch		2324	Reklamemateriaal en krantenknipsels over Willem van Schaik Schaik Willem van	Schaik (Willem van)	2326.pdf	2021-07-15			S10-47-001.pdf	2021-07-15
																														"2. Krant: """"De Schelde"""". 14e jaargang, nrs. 279,280,281 - 5,6,7 oktober 1931. Betreft: betogingen te Hasselt i.v.m. fascisme en """"franskiljonisme""""."	Dutch		304	Krant De Schelde 14e jaargang nrs 279 280 281 - 5 6 7 oktober 193 Betreft betogingen te Hasselt i v m fascisme en franskiljonisme	Refus du Service Militaire.20	305.pdf	2021-07-02	5,6,7 oktober 1931		R06-3-45-014.pdf	2021-07-02
Heisler, Dr. Hermann																														"1. Boekje: """"Krieg oder Frieden. Randbemerkungen zu Remarques Buch: """"Im Westen nichts Neues""""."	German		312	Boekje Krieg oder Frieden Randbemerkungen zu Remarques Buch Im Westen nichts Neues Heisler Dr Hermann	Remarque, (E.M.)	313.pdf	2021-07-02			R10-45-001.pdf	2021-07-02
																														6. Propaganda- en informatiemateriaal van de Nederlandsche Vereeniging voor Lucht- bescherming, Den Haag.	Dutch		336	Propaganda- en informatiemateriaal van de Nederlandsche Vereeniging voor Lucht- bescherming Den Haag	Protection des Populations Civiles.6	337.pdf	2021-07-02	1938		P54-2-43-005.pdf	2021-07-02
																														18. Propagandamateriaal, folders, pamfletten en reklamemateriaal i.v.m. luchtbescherming.	Dutch; English; German		344	Propagandamateriaal folders pamfletten en reklamemateriaal i v m luchtbescherming	Protection des Populations Civiles.4	345.pdf	2021-07-02	1937-1939		P54-1-43-018.pdf	2021-07-02
Francois, J.H.																														De Dienstweigeringswet. Voor hen die op grond van gewetensbezwaren van plan zijn den militairen dienst te weigeren	Dutch		352	De Dienstweigeringswet Voor hen die op grond van gewetensbezwaren van plan zijn den militairen dienst te weigeren Francois J H	Refus du Service Militaire.04	353.pdf	2021-07-02	1923		R06-1-44-004.pdf	2021-07-02
Hamaker Sr, C.M.																														C.M. Hamaker Sr. De economische crisis van 1929 tot ?? Populaire verhandeling over de crisis zelve. De crisis in verband met het rassenprobleem. Den Haag: Adi-Poestaka, 1931	Dutch		360	C M Hamaker Sr De economische crisis van 1929 tot Populaire verhandeling over de crisis zelve De crisis in verband met het rassenprobleem Den Haag Adi-Poestaka 1931 Hamaker Sr C M	Pacifisme; problème de la Paix.3	361.pdf	2021-07-05	Oktober 1930		P06-2-40-004.pdf	2021-07-05
Nederlandschen Protestantenbond																														"18. Tijdschrift: """"De Hervorming"""". Nr. 39 - 25 september 1915 Nr. 45 - 6 november 1915."""""	Dutch		368	Tijdschrift De Hervorming Nr 39 - 25 september 1915 Nr 45 - 6 november 191 Nederlandschen Protestantenbond	Refus du Service Militaire.24	369.pdf	2021-07-05	1915		R06-3-45-010.pdf	2021-07-05
Huxley, Aldous	http://viaf.org/viaf/71392434																													What are you going to do about it? The case for constructive peace	English		376	What are you going to do about it The case for constructive peace Huxley Aldous	Pacifisme; problème de la Paix.5	377.pdf	2021-07-05	Londen, 1936		P06-2-40-011.pdf	2021-07-05
Revolutionair Socialistisch Comité, Den Haag.																														1. Propagandamateriaal van het Revolutionair Socialistisch Comité, Den Haag.	Dutch		384	Propagandamateriaal van het Revolutionair Socialistisch Comité Den Haag Revolutionair Socialistisch Comité Den Haag	Revolutionair Socialistisch Comité, Den Haag.	385.pdf	2021-07-05	1918		R12-45-001.pdf	2021-07-05
Henderson, Arthur																														"5. Pamflet: """"The Kellogg Peace Proposals."""" Reprinted from the """"Burnley Express, April 14th, 1928. Open letter to Mr. Arthur Henderson""""."	English		392	Pamflet The Kellogg Peace Proposals Reprinted from the Burnley Express April 14th 192 Open letter to Mr Arthur Henderson Henderson Arthur	Pacte-Briand-Kellogg.1 (Kellogg-Verdrag)	393.pdf	2021-07-05	14-Apr-28		P10-40-003.pdf	2021-07-05
Hugenholtz, Ds.J.B.Th. Tijsen, Ali Tillema-Heynen,Mevr. L. Börger, Mr. Drs. A. Mispelblom Beyer, Dr. L.M. Boom-van der Woude, E. Groeneveld, Dr. A. Reitsma, Mr. J. Friedrich, Ernst Miolée-Riem Vis, E.J. Vrind, Mr. Hein Praag, Jaap van Groot, Mevr. E.W. He																														"6. Archiefmateriaal van de diverse """"Ronde Tafel Conferenties (RoTaCo's)"""". Correspondentie, rapporten en circulaires van de Propaganda-, tentoonstellings- en filmcommissie en van diverse betrokken vredes-organisaties."""""	Dutch		400	Archiefmateriaal van de diverse Ronde Tafel Conferenties (RoTaCo s) Correspondentie rapporten en circulaires van de Propaganda- tentoonstellings- en filmcommissie en van diverse betrokken vredes-organisaties Hugenholtz Ds J B Th Tijsen Ali Tillema-Heynen Mevr L Börger Mr Drs A Mispelblom Beyer Dr L M Boom-van der Woude E Groeneveld Dr A Reitsma Mr J Friedrich Ernst Miolée-Riem Vis E J Vrind Mr Hein Praag Jaap van Groot Mevr E W He	Ronde Tafel Conferenties.6a	401.pdf	2021-07-05	1935-1937		R19-2-46-001.pdf	2021-07-05
Elink Schuurman, Mr.		W.H.A. Aptaker, D.																												"6. Handgeschreven tekst over een contact met """"den heer D. Aptaker, een Rus-genaturaliseerde Engelschman"""". Gemerkt: """"Mr. W.H.A. Elink Schuurman""""."	Dutch		408	Handgeschreven tekst over een contact met den heer D Aptaker een Rus-genaturaliseerde Engelschman Gemerkt Mr W H A Elink Schuurman Elink Schuurman Mr W H A Aptaker D	Russie.2	409.pdf	2021-07-05	30-Sep		R22-46-008.pdf	2021-07-05
Innes, Kathleen E.	http://viaf.org/viaf/65249014																													"8. Pamflet: """"Victory without arms"""". Uitgave: Friends Peace Committee, London."""""	English		416	Pamflet Victory without arms Uitgave Friends Peace Committee London Innes Kathleen E	Pan Europe.5	417.pdf	2021-07-05			P12-41-005.pdf	2021-07-05
Coudenhove-Kalergi, Dr. R.N. Graaf																														"19. Brochure: """"Paneuropa Union"""". Uitgave: Paneuropa Verlag, Hofburg, Wenen."	German		440	Brochure Paneuropa Union Uitgave Paneuropa Verlag Hofburg Wenen Coudenhove-Kalergi Dr R N Graaf	Pan Europe.7	441.pdf	2021-07-05			P12-41-014.pdf	2021-07-05
Kruyt-Hogerzeil, Tr.																														"11. Pamflet: """"Waarom ook vrouwen het Manifest der Dienstweigeraars onderteekenden""""."	Dutch		448	Pamflet Waarom ook vrouwen het Manifest der Dienstweigeraars onderteekenden Kruyt-Hogerzeil Tr	Refus du Service Militaire.22	449.pdf	2021-07-05	1 oktober 1915		R06-3-45-006.pdf	2021-07-05
Ruysch, W.A. (samensteller)		Meijer, J (redactie) 		Carmiggelt, S (redactie) 		Kierdorff, W (redactie)		Galestin, Mr. A.A. 		Melchers, Ds. G.W.		Tolédano, André D. 		Bihlmans, Dr. Alfred 		Gómez Izguierdo, Mr. Ant.		Struycken, Mr. A.J.N.M. 		Tambacopoulos, Dr. Agis Wyna										" 1. Tijdschrift: """"De Schakelaar. Orgaan van Haagsche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs."""" Vijfde jaargang. Paneuropa-nummer. Maart 1931"""". (VERVOLG) Met bijdragen van: Galestin, Mr. A.A. Melchers, Ds. G.W. Tolédano,"	Dutch		456	Tijdschrift De Schakelaar Orgaan van Haagsche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs Vijfde jaargang Paneuropa-nummer Maart 1931 (VERVOLG) Met bijdragen van Galestin Mr A A Melchers Ds G W Tolédano Ruysch W A (samensteller) Meijer J (redactie) Carmiggelt S (redactie) Kierdorff W (redactie) Galestin Mr A A Melchers Ds G W Tolédano André D Bihlmans Dr Alfred Gómez Izguierdo Mr Ant Struycken Mr A J N M Tambacopoulos Dr Agis Wyna	Pan Europe.2	457.pdf	2021-07-05	Maart 1931		P12-41-023.pdf	2021-07-05
Polvliet, G.	http://viaf.org/viaf/282444528																													"19. Brochure: """"Is Nederland Gereed?"""" Uitgave: Bond van Neutrale Landen, Haarlem."""""	Dutch		464	Brochure Is Nederland Gereed Uitgave Bond van Neutrale Landen Haarlem Polvliet G	Pays-Bas.05	465.pdf	2021-07-05	Haarlem, april 1918		P16-41-004  APARTE MAP!.pdf	2021-07-05
Vollenhoven, Prof. Mr. C. van																														"24. Brochure: """"Wat te doen staat"""". Overdruk uit het tijdschrift """"De Volkenbond""""."	Dutch		472	Brochure Wat te doen staat Overdruk uit het tijdschrift De Volkenbond Vollenhoven Prof Mr C van	Pays-Bas.06	473.pdf	2021-07-05	27-Nov		P16-41-009.pdf	2021-07-05
Ziegler, Wilhelm		Meier-Benneckenstein, Paul		Japikse, Prof. Dr. Nicolas																										"7. """"Zeitschrift für Politik."""" Herausgegeben von Wilhelm Zeigler und Paul Meier - Benneckenstein"""". Bevat artikel: """"Die niederländische Neutralitätspolitik in ihrer historischen Entwicklung von Prof. Dr. Nicolas Japikse, Den Haag""""."	German		480	Zeitschrift für Politik Herausgegeben von Wilhelm Zeigler und Paul Meier - Benneckenstein Bevat artikel Die niederländische Neutralitätspolitik in ihrer historischen Entwicklung von Prof Dr Nicolas Japikse Den Haag Ziegler Wilhelm Meier-Benneckenstein Paul Japikse Prof Dr Nicolas	Pays-Bas.02	481.pdf	2021-07-05	Mei 1938		P16-41-018.pdf	2021-07-05
Pront, John		Jalink, Mevr. J. 		Lange, Dr. D. de		Köhler-van Tyen, Mevr.		Ramondt-Hirschmann, Mevr.		Mennicke, Prof. Dr.		Leeuw-Noteboom, Mevr. A. de		Staden, G.J.A. van		Baarslag, T.L.C.		Menotti-Schallenberg, Mevr. R. 		Sijn, J.A. van Jordan, Prof. Dr. H.										"Rapporten, circulaires, propagandamateriaal en correspondentie inzake de """"Vierde Ronde Tafel Conferentie, belegd voor de anti-oorlogsbeweging in Nederland"""", door de Alg. Ned. Vrouwen Vredebond, Soest, (Utrecht, 17-18 oktober 1936)"	Dutch		488	Rapporten circulaires propagandamateriaal en correspondentie inzake de Vierde Ronde Tafel Conferentie belegd voor de anti-oorlogsbeweging in Nederland door de Alg Ned Vrouwen Vredebond Soest (Utrecht 17-18 oktober 1936) Pront John Jalink Mevr J Lange Dr D de Köhler-van Tyen Mevr Ramondt-Hirschmann Mevr Mennicke Prof Dr Leeuw-Noteboom Mevr A de Staden G J A van Baarslag T L C Menotti-Schallenberg Mevr R Sijn J A van Jordan Prof Dr H	Ronde Tafel Conferenties.4b	489.pdf	2021-07-05	1936		R19-2-46-001.pdf	2021-07-05
Bossinade, Rudolf																														"12. Brochure: """"Vlootwet of geen Vlootwet?"""""	Dutch		496	Brochure Vlootwet of geen Vlootwet Bossinade Rudolf	Pays-Bas.04	497.pdf	2021-07-05	Huizum, 10 augustus 1923		P16-41-023 APARTE MAP!.pdf	2021-07-05
Kruyt, J.W.																														"15. Rede: """"Gewetensvrijheid, Dienstweigering, Ontwapening"""""	Dutch		504	Rede Gewetensvrijheid Dienstweigering Ontwapening Kruyt J W	Pays-Bas.04	505.pdf	2021-07-05			P16-41-029 APARTE MAP!.pdf	2021-07-05
Koht, Halvdan	http://viaf.org/viaf/24728334																													"3. Tijdschrift: """"Freds-Tidende"""". Nrs. 1,3,4 - 1901 / Nrs. 1,2,3,6 - 1902 Uitgave: """"Norges Fredsforening""""."	Norwegian		512	Tijdschrift Freds-Tidende Nrs 1 3 4 - 1901 / Nrs 1 2 3 6 - 1902 Uitgave Norges Fredsforening Koht Halvdan	Scandinavie.6	513.pdf	2021-07-05	1901, 1902		S08-2-47-003.pdf	2021-07-05
Padt, Ds. N.																														"2. Maandschrift """"Regeneratie. Maandschrift voor Praktisch Idealisme"""". No.11,1928. (Incompleet)"""""	Dutch		520	Maandschrift Regeneratie Maandschrift voor Praktisch Idealisme No 11 192 (Incompleet) Padt Ds N	Service Civil International.1	521.pdf	2021-07-05	1928		S18-47-005.pdf	2021-07-05
Heroma-Ennen, G.J.																														"11. 2 brieven van G.J.Heroma-Ennen, Den Haag, gericht aan """"Excellentie"""", d.d. 4 en 6 december 1935."""""	Dutch		528	2 brieven van G J Heroma-Ennen Den Haag gericht aan Excellentie d d 4 en 6 december 193 Heroma-Ennen G J	Protection des Populations Civiles.7	529.pdf	2021-07-05	4 en 6 december 1935		P54-2-43-007.pdf	2021-07-05
Buchman, Dr. Frank																														"3. Pamflet: """"Dr. Buchman over geestelijke herbewapening. Overdruk uit de Nieuwe Rotterdamse Courant van 4 September 1938""""."	Dutch		536	Pamflet Dr Buchman over geestelijke herbewapening Overdruk uit de Nieuwe Rotterdamse Courant van 4 September 1938 Buchman Dr Frank	Réarmement Moral.2	537.pdf	2021-07-05	4-Sep-38		R04-2-44-005.pdf	2021-07-05
Hugenholtz, Ds.J.B.Th.		Uitgave: J.A. van Sijn																												Open Brief aan alle Predikanten, Pastoors en Rabbi's die in den naam van God en Christus het militairisme verdedigen en zijne geweldsmiddelen zegenen.	Dutch		544	Open Brief aan alle Predikanten Pastoors en Rabbi s die in den naam van God en Christus het militairisme verdedigen en zijne geweldsmiddelen zegenen Hugenholtz Ds J B Th Uitgave J A van Sijn	Refus du Service Militaire.07	545.pdf	2021-07-05	Rotterdam, 1934		R06-1-44-011.pdf	2021-07-05
Weidenmann, Dr. Jakobus																														"59. Die Torheit der Dienstverweigerung aus religiösen Gründen und ihr verborgener Sinn""""."	German		552	Die Torheit der Dienstverweigerung aus religiösen Gründen und ihr verborgener Sinn Weidenmann Dr Jakobus	Refus du Service Militaire.13	553.pdf	2021-07-05	St. Gallen, 1930		R06-1-44-019.pdf	2021-07-05
Sijn, J.A. van	http://viaf.org/viaf/288567531																													"28. Folder: """"Oorlogs-Leger en Politie. Het geweldige verschil"""". Uitgave: Vredeskring van Nederland, Rotterdam."""""	Dutch		560	Folder Oorlogs-Leger en Politie Het geweldige verschil Uitgave Vredeskring van Nederland Rotterdam Sijn J A van	Refus du Service Militaire.06	561.pdf	2021-07-05	Rotterdam, 1930		R06-1-44-027.pdf	2021-07-05
Vredeskring van Nederland Vredespropagandakring, Rotterdam		Moederkring voor den Vrede		Alg. Ned. Vrouwen-Vredebond																										"43. Programma """"Vredesbazaar, bovenzaal Tivoli 5-8 october 1925""""."	Dutch		568	Programma Vredesbazaar bovenzaal Tivoli 5-8 october 1925 Vredeskring van Nederland Vredespropagandakring Rotterdam Moederkring voor den Vrede Alg Ned Vrouwen-Vredebond	Refus du Service Militaire.09	569.pdf	2021-07-05	1925		R06-1-44-035.pdf	2021-07-05
Hecquet, Marceline	http://viaf.org/viaf/89151302818048660123																													"62. """"La Brochure Mensuelle"""". Juin 1924. Numéro 18. Bevat: """"L'Objection de Conscience devant la service militaire""""."	French		576	La Brochure Mensuelle Juin 192 Numéro 1 Bevat L Objection de Conscience devant la service militaire Hecquet Marceline	Refus du Service Militaire.14	577.pdf	2021-07-05	Juni 1924		R06-1-44-043.pdf	2021-07-05
Bähler, Dr. Louis A.																														Hoe uit een godsdienstig oogpunt te oordelen over dienstweigering? Referaat den 28sten April 1897 te Amsterdam gehouden voor de algemeene jaarlijksche vergadering van moderne theologen. By Dr. Louis A. Bähler. Soest: Chreestarchia, 1915	Dutch		584	Hoe uit een godsdienstig oogpunt te oordelen over dienstweigering Referaat den 28sten April 1897 te Amsterdam gehouden voor de algemeene jaarlijksche vergadering van moderne theologen By Dr Louis A Bähler Soest Chreestarchia 1915 Bähler Dr Louis A	Refus du Service Militaire.03	585.pdf	2021-07-05	1915		R06-1-44-051.pdf	2021-07-05
Passy, Frederic		Ruyssen, Th.	http://viaf.org/viaf/12380012	Maurin, Raoul		Allégret, Paul	http://viaf.org/viaf/86363036																							"65. Tijdschriften: """"La Paix par Le Droit"""". 12e Année- No.9, Septembre 1902 36e Année-No.2, Février 1926 36e Année-No.4, Avril 1926 36e Année-No. 9-10, Septembre-Octobre 1926 36e Année-No.12, Décembre 1926"""""	French		592	Tijdschriften La Paix par Le Droit 12e Année- No 9 Septembre 1902 36e Année-No 2 Février 1926 36e Année-No 4 Avril 1926 36e Année-No 9-10 Septembre-Octobre 1926 36e Année-No 12 Décembre 1926 Passy Frederic Ruyssen Th Maurin Raoul Allégret Paul	Refus du Service Militaire.15	593.pdf	2021-07-05	1902, 1926		R06-1-44-059.pdf	2021-07-05
Henriëtte Roland Holst		Mr. S.K. de Waard		Mevr. C. Meeter		Armand Suls		G. Nabrink		Nine Minnema	http://viaf.org/viaf/288218579	Dr. M.J. Metzger		A. Müller Lehning																Verslag van het 5e internationale Congres voor Dienstweigering, gehouden te Den Haag, 18 en 19 mei 1929	Dutch		600	Verslag van het 5e internationale Congres voor Dienstweigering gehouden te Den Haag 18 en 19 mei 1929 Henriëtte Roland Holst Mr S K de Waard Mevr C Meeter Armand Suls G Nabrink Nine Minnema Dr M J Metzger A Müller Lehning	Refus du Service Militaire.18b	601.pdf	2021-07-05	18 en 19 mei 1929		R06-2-44-005.pdf	2021-07-05
Blink, Dr. H.																														"34. Brochure: """"Overdruk uit Vragen van den Dag"""". Bevat artikel: """"De grenzen van Nederland en in het bijzonder de zeegrenzen""""."	Dutch		608	Brochure Overdruk uit Vragen van den Dag Bevat artikel De grenzen van Nederland en in het bijzonder de zeegrenzen Blink Dr H	Pays-Bas.09	609.pdf	2021-07-05	1911		P16-41-032 APARTE MAP!.pdf	2021-07-05
Plowman, Max	http://viaf.org/viaf/45143919																													"9. Pamflet: """"Should a Christian Fight?"""""	English		616	Pamflet Should a Christian Fight Plowman Max	Peace Pledge Union.2	617.pdf	2021-07-05			P26-42-001.pdf	2021-07-05
Huxley, Aldous	http://viaf.org/viaf/71392434																													"1. Brochure: """"Wat Zult Gij Doen?"""""	Dutch		624	Brochure Wat Zult Gij Doen Huxley Aldous	Peace Pledge Union.1	625.pdf	2021-07-05	15 maart 1938		P26-42-009.pdf	2021-07-05
Potter, Pitman B.	http://viaf.org/viaf/111764865																													"1. Boekje: """"Collective Security and Peaceful Chance""""."	English		632	Boekje Collective Security and Peaceful Chance Potter Pitman B	Peaceful Change.	633.pdf	2021-07-05	Chicago, 1937		P30-42-001.pdf	2021-07-05
Hermann, Theodor		Grottger, Arthur																												"7. Boekje: """"Du sollst nicht töten! Begleitworte zu Arthur Grottger's Bilderzyklus""""."	German		640	Boekje Du sollst nicht töten Begleitworte zu Arthur Grottger s Bilderzyklus Hermann Theodor Grottger Arthur	Poésie et Musique.2	641.pdf	2021-07-05	Wenen, 1909		P38-42-003.pdf	2021-07-05
Haaften, Magdalena van	http://viaf.org/viaf/41161760438821642221																													"1. Brochure: """"Een vooruitstrevend Militair..."""". Overdruk uit het Orgaan van den Algemeenen Nederlandschen Bond """"Vrede door Recht"""", Februari 1914."""""	Dutch		648	Brochure Een vooruitstrevend Militair... Overdruk uit het Orgaan van den Algemeenen Nederlandschen Bond Vrede door Recht Februari 191 Haaften Magdalena van	Police Internationale.1	649.pdf	2021-07-05	Februari 1914		P40-42-001.pdf	2021-07-05
Rutgers, Prof. Mr. V.H.		Mandere, H.Ch.G.J. van der																												5. Brief van Prof. Mr. V.H. Rutgers, Vereniging voor Volkenbond en Vrede, 's-Gravenhage, aan H.Ch.G.J. van der Mandere, d.d. 18 oktober 1934.	Dutch		656	Brief van Prof Mr V H Rutgers Vereniging voor Volkenbond en Vrede s-Gravenhage aan H Ch G J van der Mandere d d 18 oktober 193 Rutgers Prof Mr V H Mandere H Ch G J van der	Police Internationale.2	657.pdf	2021-07-05	18 oktober 1934		P40-42-005.pdf	2021-07-05
Bernstein, Ed.																														"1. Boekje: """"Die Parlamentarische Kontrolle der auswärtigen Politik""""."	German		664	Boekje Die Parlamentarische Kontrolle der auswärtigen Politik Bernstein Ed	Politique Etrangère.1	665.pdf	2021-07-05	Den Haag, 1916		P42-43-007.pdf	2021-07-05
Pootjes, Prof. Joh. Will.																														"7. Stencil: """"Vredestichters-Voorlichtingsdienst. Ten dienste van anti-militairisten""""."	Dutch		672	Stencil Vredestichters-Voorlichtingsdienst Ten dienste van anti-militairisten Pootjes Prof Joh Will	Pootjes.	673.pdf	2021-07-05			P45-43-007.pdf	2021-07-05
Balt, Dr. Murk Landelijke Comité voor het Gebeds-, Bezinnings- en Concentratie- uur voor den Vrede.																														"1. Propagandamateriaal, krantenknipsels, correspondentie, pamfletten van het""""Comité tot Gebedsgemeenschap voor den Vrede""""."	Dutch; English; Danish; German; French		680	Propagandamateriaal krantenknipsels correspondentie pamfletten van het Comité tot Gebedsgemeenschap voor den Vrede Balt Dr Murk Landelijke Comité voor het Gebeds- Bezinnings- en Concentratie- uur voor den Vrede	Prière, méditation, etc. pour la Paix.	681.pdf	2021-07-05	1917-1918		P50-43-001.pdf	2021-07-05
Höriger, Max	http://viaf.org/viaf/8380000																													"5. Boekje: """"Der Zivile Luftschutz""""."	German		688	Boekje Der Zivile Luftschutz Höriger Max	Protection des Populations Civiles.1	689.pdf	2021-07-05	1935		P54-1-43-001.pdf	2021-07-05
Willemse, Arie H.		Heroma, K.																												"11. Brief van Arie H. Willemse, Den Haag, aan""""Amice Heroma"""", d.d. 14 december 1936."""""	Dutch		696	Brief van Arie H Willemse Den Haag aan Amice Heroma d d 14 december 193 Willemse Arie H Heroma K	Protection des Populations Civiles.3	697.pdf	2021-07-05	14 december 1936 's-Gravenhage, 18 januari 1939 Gouda, 8 januari 1936		P54-1-43-009.pdf	2021-07-05
Levinson, Salmon O.																														"20. Pamflet: """"Can Peace be 'Enforced'? A Study of International Sanctions""""."	English		704	20 Pamflet Can Peace be Enforced A Study of International Sanctions Levinson Salmon O	Outlawry of War.05	705.pdf	2021-07-05	8 januari 1925		O06-38-025.pdf	2021-07-05
Elink Schuurman, Mr. W.H.A. (?)																														" 2. Kopie-brief """"Aan den Heer Voorzitter van de Eerste Kamer der Staten-Generaal d.d. """"April, jaar X van den Volkenbond"""" (1930)."""""	Dutch		712	Kopie-brief Aan den Heer Voorzitter van de Eerste Kamer der Staten-Generaal d d April jaar X van den Volkenbond (1930) Elink Schuurman Mr W H A ( )	Outlawry of War.01	713.pdf	2021-07-05	23-Apr-30		O06-38-031.pdf	2021-07-05
Riel, Prof. Dr. C.G. van																														"2. Brochure: """"Christus, De Redder""""."	Dutch		720	Brochure Christus De Redder Riel Prof Dr C G van	Pacifisme Chrétien.01	721.pdf	2021-07-05	16-Dec-34		P04-1-39-007.pdf	2021-07-05
Scholten, Prof. Mr. P.		Cramer, Prof. Dr. J.A. 		Heering, Prof. Dr. G.J. 		Wissing, Dr. J.C. 		Asbeck, prof.Mr. F.M. 		Baron van Asch van Wijck, Jkvr. C.M. van 		Buskes, Ds.J.J. 		Baak, Mr.J.C. 		Walsum, Mr. G.E. van 		Verkade, Mr. W. 		Scholten, Mr. G.J. 		Patijn, Mr. C.L. 								"15. Brochure: """"De Kerk en de Internationale Samenleving."""" Rapport samengesteld in opdracht van de """"Nederlandsche Afdeeling van den Wereldbond voor Internationale Vriendschap door de Kerken over het vraagstuk van oorlog en vrede""""."	Dutch		728	Brochure De Kerk en de Internationale Samenleving Rapport samengesteld in opdracht van de Nederlandsche Afdeeling van den Wereldbond voor Internationale Vriendschap door de Kerken over het vraagstuk van oorlog en vrede Scholten Prof Mr P Cramer Prof Dr J A Heering Prof Dr G J Wissing Dr J C Asbeck prof Mr F M Baron van Asch van Wijck Jkvr C M van Buskes Ds J J Baak Mr J C Walsum Mr G E van Verkade Mr W Scholten Mr G J Patijn Mr C L (	Pacifisme Chrétien.04	729.pdf	2021-07-05	Juni1939		P04-1-39-015.pdf	2021-07-05
Marinoff, Irene	http://viaf.org/viaf/193224254																													25. Boekje: Peace and the Churches.	English		736	Boekje Peace and the Churches Marinoff Irene	Pacifisme Chrétien.06	737.pdf	2021-07-05	Maart 1938		P04-1-39-023.pdf	2021-07-05
Willemse, Mr. H. 		Bakker-van Bosse, Mw. Mr. C. 		Roland-Holst, Henriëtte		Touw, Ds. H.C.																								"14. Brochure: """"Ontwapening, evangelie, staat""""."	Dutch		744	Brochure Ontwapening evangelie staat Willemse Mr H Bakker-van Bosse Mw Mr C Roland-Holst Henriëtte Touw Ds H C	Pacifisme Chrétien.03	745.pdf	2021-07-05	1932		P04-1-39-032.pdf	2021-07-05
Shailer Matthews, Dr.		Atkinson, Dr. Henry A.																												"35. Brochure: """"World Conference for International Peace Through Religion. Geneva Conference 1937""""."	English		752	Brochure World Conference for International Peace Through Religion Geneva Conference 1937 Shailer Matthews Dr Atkinson Dr Henry A	Pacifisme Chrétien.08	753.pdf	2021-07-05	Genève, 1935		P04-1-39-040.pdf	2021-07-05
Loggers, J.																														"14. Brochure: """"Het Ultimatum Gods aan de Gemeente der 20ste Eeuw""""."	Dutch		760	Brochure Het Ultimatum Gods aan de Gemeente der 20ste Eeuw Loggers J	Pacifisme Chrétien.13	761.pdf	2021-07-05	Overschie, November 1923		P04-2-39-004.pdf	2021-07-05
Westphal, Alexandre	http://viaf.org/viaf/166833647	Teding van Berkhout, S.W. (vertaling en voorwoord)																												"9. Brochure: """"De Heer der Heirscharen"""". (Uit het Frans vertaald)"""""	Dutch		768	Brochure De Heer der Heirscharen (Uit het Frans vertaald) Westphal Alexandre Teding van Berkhout S W (vertaling en voorwoord)	Pacifisme Chrétien.12	769.pdf	2021-07-05	Lausanne, 20 oktober 1914; Zwolle, Juli 1916		P04-2-39-012.pdf	2021-07-05
Heywood, Rev. H.C.L.																														"26. Brochure: """"Christian Pacifism"""". Uitgave: The Fellowship of Reconciliation, London."""""	English		776	Brochure Christian Pacifism Uitgave The Fellowship of Reconciliation London Heywood Rev H C L	Pacifisme Chrétien.15	777.pdf	2021-07-05			P04-2-39-020.pdf	2021-07-05
Bailey, Alice A.	http://viaf.org/viaf/22137960																													"18. Brochure: """"Tot 1942""""."	Dutch		784	Brochure Tot 1942 Bailey Alice A	Pacifisme Chrétien.14	785.pdf	2021-07-05	1939		P04-2-39-028.pdf	2021-07-05
Hartmann, Hans																														"36. Boekje: """"Zur Religiösen Krisis""""."	German		792	Boekje Zur Religiösen Krisis Hartmann Hans	Pacifisme Chrétien.17	793.pdf	2021-07-05	Berlijn, 1923		P04-2-39-036.pdf	2021-07-05
Huxley, Aldous (editor)																														Aldous Huxley. An Encyclopaedia of Pacifism. London: Chatto Windus, 1937	English		800	Aldous Huxley An Encyclopaedia of Pacifism London Chatto Windus 1937 Huxley Aldous (editor)	Pacifisme; problème de la Paix.1	801.pdf	2021-07-05	1937		P06-1-40-005.pdf	2021-07-05
Seymour Cocks, F.																														"5. Brochure: """"The War Danger""""."	English		808	Brochure The War Danger Seymour Cocks F	No More War Movement.1	809.pdf	2021-07-05			N30-37-003.pdf	2021-07-05
Elink Schuurman, Mr. W.H.A.																														Open Brief aan de Leden van de Eerste Kamer der Staten-Generaal	Dutch		816	Open Brief aan de Leden van de Eerste Kamer der Staten-Generaal Elink Schuurman Mr W H A	Nooit Meer Oorlog Federatie.01	817.pdf	2021-07-05	s-Gravenhage, 17 april 1930		N34-1-37-004.pdf	2021-07-05
