creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Andreoli, Mr. Dr. J.M.J.F.																														"Brochure: """"Eenige Opmerkingen over Volken- bondspact, Volkenbond en Wereldgebeuren Op den verkeerden weg""""."	Dutch		215	Brochure Eenige Opmerkingen over Volken- bondspact Volkenbond en Wereldgebeuren Op den verkeerden weg Andreoli Mr Dr J M J F	Société des Nations.3 (Volkenbond)	216.pdf	2021-06-02	1936		S24-48-021.pdf	2021-06-02
Vletter, Dr. A. de																														"5. Brochure: """"Vrede door Recht. Iets over den Volkenbond voor onze Hollandsche jongeren""""."	Dutch		223	Brochure Vrede door Recht Iets over den Volkenbond voor onze Hollandsche jongeren Vletter Dr A de	Société des Nations.2 (Volkenbond)	224.pdf	2021-06-02	na 1928		S24-48-028.pdf	2021-06-02
Suttner, Bertha von	http://viaf.org/viaf/95160848																											Peace Movement; Bertha von Suttner (1843-1914)		"1. Brochure: ""De Oorlog en Zijne Bestrijding"". "	Dutch	Scheltens & Giltay, Amsterdam	231	Brochure De Oorlog en Zijne Bestrijding Bertha von Suttner Bertha, Wenen, 21 september 1904	Suttner, Bertha von	232.pdf	2021-07-12	1904		S30-49-001.pdf	2021-06-02
																														3. Folders en vlugschriften.	German; Czech		239	Folders en vlugschriften	Tsjecho-Slowakije	240.pdf	2021-06-02	1928, 1938		T04-50-003.pdf	2021-06-02
Hoesch Ernst, Dr. Lucy																														"8. Toneelstuk: """"Unity or Suicide. A film writing""""."	English		247	Toneelstuk Unity or Suicide A film writing Hoesch Ernst Dr Lucy	Théatre et Musique.2	248.pdf	2021-06-02	Zurich, 1936		T06-50-008.pdf	2021-06-02
Heerdt tot Eversberg-Quarles van		Ufford, Gravin P. van																												"1. Brochure: """"Wereldvrede en Vooruitgang eischen een nieuwe opvoeding""""."	Dutch		2	Brochure Wereldvrede en Vooruitgang eischen een nieuwe opvoeding Heerdt tot Eversberg-Quarles van Ufford Gravin P van	Wereldvrede en Vooruitgang.	3.pdf	2021-05-26	Bloemendaal, Kerstmis 1925		W19-55-002.pdf	2021-05-26
Eyles, Merle	http://viaf.org/viaf/754159234235003371068	Stankunas, Józef																												"1. Brochure: """"He Laid down His Life that we might live"""". (Over Józef Stankunas, """"A Polish War Resister"""".)"""""	English		10	Brochure He Laid down His Life that we might live (Over Józef Stankunas A Polish War Resister ) Eyles Merle Stankunas Józef	War Resisters' International.3	11.pdf	2021-05-26	1939 (?)		W08-2-54-007.pdf	2021-05-26
Wateler, J.G.D.																														"1. Krantenknipsel en Tweede Kamerstuk i.v.m. de """"Wateler Vredesprijs""""."	Dutch		18	Krantenknipsel en Tweede Kamerstuk i v m de Wateler Vredesprijs Wateler J G D	Wateler Vredesprijs.	19.pdf	2021-05-26	10 november 1930 31 maart 1931		W12-54-001.pdf	2021-05-26
Hamilton, J.W. (secretary)																														1. Foldermateriaal van de World Peace Postage Association, St. Paul, U.S.A.	English		26	Foldermateriaal van de World Peace Postage Association St Paul U S A Hamilton J W (secretary)	World Peace Postage Association.	27.pdf	2021-05-26	1929		W26-55-001.pdf	2021-05-26
Vredeskring van Nederland, Rotterdam.																														2. Propagandamateriaal,krantenknipsels.	Dutch		34	Propagandamateriaal krantenknipsels Vredeskring van Nederland Rotterdam	Vredeskring van Nederland.	35.pdf	2021-05-26	±1932		V26-53-002.pdf	2021-05-26
Hondius, Ir. K.J.																														"1. Krant: """"Leven! Een vredesblad voor de Zeeuwsche Eilanden"""". 1ste jaargang No. 4 - Februari 1934. (Bevat artikel: """"Het vliegveld als misleider der openbare mening"""" door Ir. K. J. Hondius.)"""""	Dutch		42	Krant Leven Een vredesblad voor de Zeeuwsche Eilanden 1ste jaargang No 4 - Februari 193 (Bevat artikel Het vliegveld als misleider der openbare mening door Ir K J Hondius ) Hondius Ir K J	"Vredesgroep """"Leven""""."	43.pdf	2021-05-26	Februari 1934		V24-52-002.pdf	2021-05-26
Heerdt tot Eversberg-Quarles van		Ufford, Gravin P. van																												"1. Brochure: """"Wereldvrede en Vooruitgang eischen een nieuwe opvoeding""""."	Dutch		50	Brochure Wereldvrede en Vooruitgang eischen een nieuwe opvoeding Heerdt tot Eversberg-Quarles van Ufford Gravin P van	Wereldvrede en Vooruitgang.	51.pdf	2021-05-26	Bloemendaal, Kerstmis 1925		W19-55-002.pdf	2021-05-26
Warmelo, W.L. van	http://viaf.org/viaf/281446332																													"1. Brochure: """"Is oorlog inderdaad een uiting van Gods wil?"""""	Dutch		58	Brochure Is oorlog inderdaad een uiting van Gods wil Warmelo W L van	Warmelo, W.L. van.1	59.pdf	2021-05-26	Blaricum, maart 1928		W06-54-004.pdf	2021-05-26
Fenner Brockway, A.		Runham Brown, H.																												War Resisters of the World. War Resisters' International Conference, London, July 3rd-6th, 1925	English		66	War Resisters of the World War Resisters International Conference London July 3rd-6th 1925 Fenner Brockway A Runham Brown H	War Resisters' International.2	67.pdf	2021-05-26	July, 1925		W08-1-54-007.pdf	2021-05-26
